date,open,high,low,close,value
2016/9/11,621.65,621.65,609.67,610.92,233343704.0
2016/9/14,608.82,610.38,608.82,609.11,172305700.0
2016/9/17,607.04,611.58,607.04,610.19,140616100.0
2016/9/20,608.66,608.66,597.42,597.42,222572396.0
2016/9/23,594.08,603.88,594.08,601.74,120404300.0
2016/9/26,598.98,605.96,598.98,605.67,157298800.0
2016/9/29,603.85,614.82,603.85,614.82,168138000.0
2016/10/2,612.98,612.98,609.62,609.62,135849700.0
2016/10/5,607.18,617.21,607.18,617.21,188961004.0
2016/10/8,614.74,617.54,614.74,617.54,149070404.0
2016/10/11,614.77,635.96,614.77,635.96,257580900.0
2016/10/14,634.02,641.42,634.02,641.42,137478100.0
2016/10/17,638.97,638.97,629.25,629.25,192991996.0
2016/10/20,627.72,655.48,627.72,655.48,191464796.0
2016/10/23,653.25,655.31,651.39,655.31,207071600.0
2016/10/26,651.45,687.68,651.45,687.68,266127904.0
2016/10/29,685.91,702.0,685.91,702.0,332490392.0
2016/11/1,697.01,733.33,686.17,686.17,388200200.0
2016/11/4,683.69,712.0,683.69,712.0,213562196.0
2016/11/7,709.96,720.93,708.97,720.93,277136900.0
2016/11/10,721.5,721.5,703.71,703.71,196550000.0
2016/11/13,702.28,710.91,702.28,710.91,215349592.0
2016/11/16,711.73,747.52,711.73,747.52,337236104.0
2016/11/19,748.98,748.98,729.06,738.53,325526400.0
2016/11/22,736.97,741.63,736.97,737.45,292369096.0
2016/11/25,735.64,735.64,727.96,727.96,175372100.0
2016/11/28,727.31,742.69,727.31,742.69,214470504.0
2016/12/1,742.05,772.43,742.05,764.33,277614200.0
2016/12/4,762.97,762.97,754.63,756.62,283138900.0
2016/12/7,758.99,770.02,758.99,770.02,245243296.0
2016/12/10,769.08,777.0,769.08,777.0,187727500.0
2016/12/13,777.99,777.99,774.89,776.75,239204696.0
2016/12/16,775.88,788.7,775.88,788.4,223122400.0
2016/12/19,788.67,824.21,788.67,824.21,330091696.0
2016/12/22,834.97,901.31,834.97,891.61,613318016.0
2016/12/25,892.6,930.37,892.6,930.37,434743992.0
2016/12/28,930.34,963.38,930.34,952.15,623424000.0
2016/12/31,958.12,1015.97,958.12,1015.97,469095104.0
2017/1/3,1013.42,1126.76,994.67,994.67,1040312992.0
2017/1/6,999.65,999.65,896.83,908.14,790141024.0
2017/1/9,910.49,910.49,785.22,785.22,568613984.0
2017/1/12,780.92,826.29,780.92,817.91,484357296.0
2017/1/15,819.55,903.84,819.55,903.84,308863808.0
2017/1/18,906.6,906.6,893.6210875,893.6210875,418030392.0
2017/1/21,895.64,922.0736125,895.64,922.0736125,301319600.0
2017/1/24,919.97,919.97,893.045625,915.95625,364138000.0
2017/1/27,915.05,920.31225,915.05,915.933,255425300.0
2017/1/30,912.19,979.703875,912.19,979.703875,392919296.0
